time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
10.08 472.004 0.035277 63.108 21.000 0 1 0 0 0 1 0 0
10.12 487.910 0.024845 60.797 24.401 0 1 0 0 0 1 0 0
10.16 503.816 0.021277 60.136 23.625 0 1 0 0 0 1 0 0
10.20 519.722 0.017913 57.315 21.384 0 1 0 0 0 1 0 0
10.24 541.939 0.013520 55.089 18.620 0 1 0 0 0 1 0 0
10.28 543.931 0.012198 55.350 17.432 0 1 0 0 0 0 1 0
10.32 431.647 0.014263 69.790 18.511 0 1 0 0 0 0 1 0
10.36 277.368 0.060638 59.934 23.856 0 1 0 0 0 0 1 0
10.40 223.317 0.018730 59.404 20.669 0 1 0 0 0 0 1 0
10.44 203.550 0.019785 59.305 21.350 0 1 0 0 0 0 1 0
10.48 220.677 0.015031 55.510 18.300 0 1 0 0 0 0 1 0
10.52 235.599 0.009276 64.906 14.245 0 1 0 0 0 0 1 0
10.56 253.398 0.052052 56.880 21.055 0 1 0 0 0 0 1 0
10.60 263.320 0.010882 52.313 15.026 0 1 0 0 0 0 1 0
10.64 269.509 0.010040 55.883 15.418 0 1 0 0 0 0 1 0
10.68 275.698 0.009600 50.767 13.585 0 1 0 0 0 0 1 0
10.72 284.344 0.005573 56.748 10.416 0 1 0 0 0 0 1 0
10.76 281.924 0.081681 76.872 28.653 0 1 0 0 0 0 1 0
10.80 266.838 0.147178 68.747 45.796 0 1 0 0 0 0 1 0
10.84 266.721 0.013087 50.023 15.340 0 1 0 0 0 0 1 0
10.88 266.648 0.004573 44.326 10.004 0 1 0 0 0 0 1 0
10.92 266.575 0.002277 37.157 6.659 0 1 0 0 0 0 1 0
10.96 266.472 0.001288 44.465 4.441 0 0 0 1 0 0 1 0
11.00 262.883 0.032721 68.645 13.737 0 0 0 1 0 0 1 0
11.04 253.745 0.091010 74.185 32.013 0 0 0 1 0 0 1 0
11.08 246.035 0.046599 45.012 12.506 0 0 0 1 0 0 1 0
11.12 241.226 0.001650 28.645 3.812 0 0 0 1 0 0 1 0
